일자,지점번호,지점명,황사관측여부(O/X),평균 미세먼지농도(㎍/㎥),평균 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(deg),최다풍향(deg),기사,최단시정(10m),대기확산지수:+03시간,+06시간,+09시간,+12시간,+15시간,+18시간,+21시간,+24시간
2020-04-04,93,북춘천,X,56,2.3,6.5,340,320,{연무}0750-{연무}{강도0}0900-{연무}{강도0}1200-1250.,600,보통,높음,높음,높음,높음,높음,보통,보통
2020-04-04,102,백령도,O,62,9.4,13.7,340,340,-{연무}-0055. {연무}0235-{연무}{강도0}0300- {황사}0410-0415.{황사}{강도0}0600-0715.,652,높음,매우높음,매우높음,매우높음,매우높음,매우높음,높음,높음
2020-04-04,104,북강릉,X,,2.8,8.4,250,200,{연무}0854-{연무}{강도0}0900-0911.,993,높음,높음,높음,높음,매우높음,높음,보통,높음
2020-04-04,108,서울,X,69,3.4,6.3,290,290,{박무}0240-{박무}{강도1}0300-{박무}{강도1}0600-0835. -{연무}-0245. {연무}0830-{연무}{강도0}0900-0935.,241,높음,매우높음,매우높음,매우높음,높음,높음,높음,높음
2020-04-04,112,인천,O,,5.8,9.9,340,360,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0735. {연무}0730- 0755.{황사}0755-{황사}{강도0}0900-1050.,231,높음,매우높음,매우높음,매우높음,높음,높음,높음,높음
2020-04-04,115,울릉도,X,23,6.1,12.6,50,70,{비}1132-{비}{강도0}1200-1210. {진눈깨비}1655-1705.,1022,높음,높음,높음,매우높음,매우높음,매우높음,매우높음,매우높음
2020-04-04,119,수원,X,53,3.5,7.7,270,320,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0913. {연무}0910-0935.,462,높음,매우높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,131,청주,O,,2.2,5.5,290,270,{연무}0510-{연무}{강도0}0600-{연무}{강도0}0900- {황사}1135-1140.{황사}{강도0}1200-1440.,583,높음,높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,133,대전,O,,2.9,6.7,270,140,{연무}0125-{연무}{강도0}0300-{연무}{강도0}0600-0850. {연무}1030-{연무}{강도0}1200-1210. {연무}1320- {황사}1420-1425.{황사}{강도0}1500-1620.,670,높음,매우높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,136,안동,X,54,2.5,5.8,290,290,{연무}0830-{연무}{강도0}0900-{연무}{강도0}1200-1240.,861,높음,높음,높음,높음,높음,높음,높음,높음
2020-04-04,138,포항,X,,4.2,7.6,50,50,,1457,높음,매우높음,높음,높음,높음,높음,높음,높음
2020-04-04,143,대구,X,41,2.9,8.2,110,110,,1318,높음,매우높음,높음,높음,높음,높음,높음,높음
2020-04-04,146,전주,X,45,2.5,5.8,270,270,,1000,높음,매우높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,152,울산,X,27,2.7,6.4,70,360,,1800,높음,높음,높음,높음,보통,보통,보통,높음
2020-04-04,155,창원,X,,1.8,6.1,180,180,,1583,높음,높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,156,광주,O,51,1.8,4.1,20,250,{황사}1313-{황사}{강도0}1500-1622.,1020,높음,높음,높음,높음,높음,높음,높음,높음
2020-04-04,159,부산,X,,4,9.1,230,50,,1367,높음,높음,높음,높음,높음,높음,높음,높음
2020-04-04,165,목포,X,,5.7,12,340,360,{박무}0152-0217. {박무}0333-{박무}{강도0}0600-0818.,703,높음,높음,높음,높음,매우높음,매우높음,높음,높음
2020-04-04,168,여수,X,,7.1,12.4,320,320,,1071,높음,높음,높음,높음,높음,높음,높음,높음
2020-04-04,169,흑산도,O,41,9,15.9,360,360,-{박무}-0021. {황사}1137-{황사}{강도0}1200-1316. {폭풍}1515-1518. {폭풍}1532-1542. {폭풍}1607-1636. {폭풍}1641-1642. {폭풍}1644-1655. {폭풍}1657-1701. {폭풍}1705-1729. {폭풍}1733-2050. {폭풍}2055-2103. {폭풍}2120-2130. {폭풍}2157-2158. {폭풍}2223-2233. {폭풍}2244-2248.,797,높음,높음,높음,높음,높음,매우높음,매우높음,높음
2020-04-04,177,홍성,O,,3.4,5.7,320,320,-{박무}-{박무}{강도0}0300-0840. {연무}0835-{연무}{강도0}0900- {황사}0940-0945.{황사}{강도0}1200-1210.,363,높음,매우높음,매우높음,높음,높음,높음,높음,높음
2020-04-04,184,제주,X,,3.6,7,270,270,{연무}0533-{연무}{강도0}0600-0725. {연무}1415-1446.,909,높음,높음,높음,높음,높음,높음,매우높음,높음
2020-04-04,189,서귀포,X,,1.5,2.9,290,360,,1236,높음,높음,높음,높음,높음,높음,높음,높음
