일자,지점번호,황사관측여부(O/X),평균 미세먼지농도(㎍/㎥),평균 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(deg),최다풍향(deg),최단시정(10m)
2020-04-04,93,X,56,2.3,6.5,340,320,600
2020-04-04,102,O,62,9.4,13.7,340,340,652
2020-04-04,104,X,0,2.8,8.4,250,200,993
2020-04-04,108,X,69,3.4,6.3,290,290,241
2020-04-04,112,O,0,5.8,9.9,340,360,231
2020-04-04,115,X,23,6.1,12.6,50,70,1022
2020-04-04,119,X,53,3.5,7.7,270,320,462
2020-04-04,131,O,0,2.2,5.5,290,270,583
2020-04-04,133,O,0,2.9,6.7,270,140,670
2020-04-04,136,X,54,2.5,5.8,290,290,861
2020-04-04,138,X,0,4.2,7.6,50,50,1457
2020-04-04,143,X,41,2.9,8.2,110,110,1318
2020-04-04,146,X,45,2.5,5.8,270,270,1000
2020-04-04,152,X,27,2.7,6.4,70,360,1800
2020-04-04,155,X,0,1.8,6.1,180,180,1583
2020-04-04,156,O,51,1.8,4.1,20,250,1020
2020-04-04,159,X,0,4,9.1,230,50,1367
2020-04-04,165,X,0,5.7,12,340,360,703
2020-04-04,168,X,0,7.1,12.4,320,320,1071
2020-04-04,169,O,41,9,15.9,360,360,797
2020-04-04,177,O,0,3.4,5.7,320,320,363
2020-04-04,184,X,0,3.6,7,270,270,909
2020-04-04,189,X,0,1.5,2.9,290,360,1236
